show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s692,TV Show,So Not Worth It,Not Given,Pakistan,6/18/2021,2021,TV-14,1 Season,"International TV Shows, TV Comedies"
s3559,TV Show,Million Pound Menu,Not Given,United Kingdom,8/27/2019,2019,TV-MA,2 Seasons,"British TV Shows, International TV Shows, Reality TV"
s7545,Movie,"My Schoolmate, the Barbarian","Siu-hung Chung, Wong Jing",Hong Kong,8/16/2018,2001,TV-14,90 min,"Action & Adventure, Comedies, International Movies"
s1048,TV Show,Peasants Rebellion,Not Given,Lebanon,4/15/2021,2018,TV-14,1 Season,"International TV Shows, TV Dramas"
s4518,TV Show,The Curious Creations of Christine McConnell,Not Given,United States,10/12/2018,2018,TV-PG,1 Season,"TV Comedies, TV Mysteries"
s1442,Movie,Hello Brother,Sohail Khan,India,1/4/2021,1999,TV-14,126 min,"Action & Adventure, Comedies, International Movies"
s4075,Movie,It Takes a Man and a Woman,Cathy Garcia-Molina,Philippines,2/27/2019,2013,TV-PG,127 min,"Comedies, International Movies, Romantic Movies"
s4564,Movie,Dil Vil Pyaar Vyaar,Manjeet Maan,India,10/1/2018,2014,TV-PG,145 min,"International Movies, Music & Musicals, Romantic Movies"
s2518,TV Show,Boys Over Flowers,Not Given,South Korea,5/16/2020,2009,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
s5585,Movie,Nila,Selvamani Selvaraj,India,3/1/2017,2016,TV-MA,94 min,"Dramas, International Movies, Romantic Movies"
s4486,TV Show,The Hollywood Masters,Not Given,United States,10/23/2018,2017,TV-MA,3 Seasons,Stand-Up Comedy & Talk Shows
s366,Movie,Eyes of a Thief,Najwa Najjar,France,7/30/2021,2014,TV-14,103 min,"Dramas, Independent Movies, International Movies"
s6955,Movie,Hell and Back,"Tom Gianas, Ross R. Shuman",United States,9/6/2018,2015,R,86 min,"Action & Adventure, Comedies, Independent Movies"
s5381,TV Show,Dawn of the Croods,Not Given,United States,7/7/2017,2017,TV-Y7,4 Seasons,Kids' TV
s8469,Movie,The Pursuit,John Papola,United States,8/7/2019,2019,TV-14,76 min,Documentaries
s4235,Movie,Gina Yashere: Laughing to America,Paul M. Green,Not Given,12/31/2018,2013,TV-MA,68 min,Stand-Up Comedy
s5016,Movie,Swearnet Live,"Mike Smith, John Paul Tremblay, Robb Wells",Canada,3/1/2018,2014,TV-MA,75 min,"Comedies, International Movies"
s411,Movie,Chhota Bheem And The Broken Amulet,Rajiv Chilaka,India,7/22/2021,2013,TV-Y7,64 min,Children & Family Movies
s5270,Movie,Barbie Dolphin Magic,Conrad Helten,United States,9/18/2017,2017,TV-Y,64 min,Children & Family Movies
s4147,Movie,Velvet Buzzsaw,Dan Gilroy,United States,2/1/2019,2019,R,113 min,"Dramas, Thrillers"
s6314,Movie,Bilu Rakkhosh,Indrasis Acharya,India,3/15/2018,2017,TV-MA,127 min,"Dramas, International Movies"
s6927,Movie,Harlem Globetrotters: The Team That Changed the World,Not Given,Pakistan,11/1/2019,2005,TV-14,55 min,"Documentaries, Sports Movies"
s1044,TV Show,Gilmore Girls,Not Given,United States,4/15/2021,2006,TV-14,7 Seasons,"Romantic TV Shows, TV Comedies, TV Dramas"
s1790,Movie,Secrets of the Saqqara Tomb,James Tovell,United States,10/28/2020,2020,TV-PG,114 min,Documentaries
s1491,Movie,The Magic School Bus Rides Again In the Zone,Richard Weston,Canada,12/26/2020,2020,TV-Y,46 min,Children & Family Movies
s1031,Movie,Four Sisters Before the Wedding,Mae Czarina Cruz,Philippines,4/16/2021,2020,TV-MA,116 min,"Children & Family Movies, Comedies, Dramas"
s2983,TV Show,Find Yourself,Not Given,Pakistan,1/29/2020,2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
s8134,Movie,Survivors Guide to Prison,Matthew Cooke,United States,5/24/2018,2017,TV-MA,103 min,Documentaries
s586,Movie,Ophelia,Claire McCarthy,United Kingdom,7/1/2021,2018,PG-13,106 min,"Dramas, Romantic Movies"
s5288,TV Show,The Vampire Diaries,Not Given,United States,9/4/2017,2016,TV-14,8 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy"
